rgi,nome_rgi
"260001",Recife
"260002",Goiana – Timbaúba
"260003",Palmares
"260004",Limoeiro
"260005",Vitória de Santo Antão
"260006",Carpina
"260007",Barreiros - Sirinhaém
"260008",Surubim
"260009",Caruaru
"260010",Garanhuns
"260011",Arcoverde
"260012",Belo Jardim – Pesqueira
"260013",Serra Talhada
"260014",Afogados da Ingazeira
"260015",Petrolina
"260016",Araripina
"260017",Salgueiro
"260018",Escada - Ribeirão
