ID;MUN_OR;NOME_ORIGEM;HIERAR_CID;MUN_DEST;NOME_DESTINO;HIERAR_CID_D
26000542611606;2600054;Abreu e Lima;1C;2611606;Recife;1C
26000542610707;2600054;Abreu e Lima;1C;2610707;Paulista;1C
26000542609600;2600054;Abreu e Lima;1C;2609600;Olinda;1C
26000542606200;2600054;Abreu e Lima;1C;2606200;Goiana;3B
26000542606804;2600054;Abreu e Lima;1C;2606804;Igarassu;1C
26000542613701;2600054;Abreu e Lima;1C;2613701;São Lourenço da Mata;1C
26001042611606;2600104;Afogados da Ingazeira;3B;2611606;Recife;1C
26001042604106;2600104;Afogados da Ingazeira;3B;2604106;Caruaru;2B
26001042613909;2600104;Afogados da Ingazeira;3B;2613909;Serra Talhada;3A
26001042614600;2600104;Afogados da Ingazeira;3B;2614600;Tabira;4B
26001042601201;2600104;Afogados da Ingazeira;3B;2601201;Arcoverde;3A
26001042613602;2600104;Afogados da Ingazeira;3B;2613602;São José do Egito;4B
26001042603900;2600104;Afogados da Ingazeira;3B;2603900;Carnaíba;5
26001042612505;2600104;Afogados da Ingazeira;3B;2612505;Santa Cruz do Capibaribe;3B
26001042606903;2600104;Afogados da Ingazeira;3B;2606903;Iguaracy;5
26001042605608;2600104;Afogados da Ingazeira;3B;2605608;Flores;5
26001042615706;2600104;Afogados da Ingazeira;3B;2615706;Triunfo;5
26001042615409;2600104;Afogados da Ingazeira;3B;2615409;Toritama;5
26001042606002;2600104;Afogados da Ingazeira;3B;2606002;Garanhuns;2C
26001042612208;2600104;Afogados da Ingazeira;3B;2612208;Salgueiro;3B
26001042611101;2600104;Afogados da Ingazeira;3B;2611101;Petrolina;2C
26002032611101;2600203;Afrânio;5;2611101;Petrolina;2C
26002032611606;2600203;Afrânio;5;2611606;Recife;1C
26002032605152;2600203;Afrânio;5;2605152;Dormentes;5
26003022604106;2600302;Agrestina;5;2604106;Caruaru;2B
26003022611606;2600302;Agrestina;5;2611606;Recife;1C
26003022605004;2600302;Agrestina;5;2605004;Cupira;5
26003022600807;2600302;Agrestina;5;2600807;Altinho;5
26003022613305;2600302;Agrestina;5;2613305;São Joaquim do Monte;5
26003022604205;2600302;Agrestina;5;2604205;Catende;5
26003022601706;2600302;Agrestina;5;2601706;Belo Jardim;3B
26003022601508;2600302;Agrestina;5;2601508;Belém de Maria;5
26003022606002;2600302;Agrestina;5;2606002;Garanhuns;2C
26004012611606;2600401;Água Preta;5;2611606;Recife;1C
26004012610004;2600401;Água Preta;5;2610004;Palmares;3B
26004012604106;2600401;Água Preta;5;2604106;Caruaru;2B
26004012614857;2600401;Água Preta;5;2614857;Tamandaré;5
26004012601409;2600401;Água Preta;5;2601409;Barreiros;4A
26004012613404;2600401;Água Preta;5;2613404;São José da Coroa Grande;5
26004012604205;2600401;Água Preta;5;2604205;Catende;5
26004012616407;2600401;Água Preta;5;2616407;Vitória de Santo Antão;3B
26004012615409;2600401;Água Preta;5;2615409;Toritama;5
26004012606002;2600401;Água Preta;5;2606002;Garanhuns;2C
26005002606002;2600500;Águas Belas;5;2606002;Garanhuns;2C
26005002611606;2600500;Águas Belas;5;2611606;Recife;1C
26005002601201;2600500;Águas Belas;5;2601201;Arcoverde;3A
26005002607505;2600500;Águas Belas;5;2607505;Itaíba;5
26005002604106;2600500;Águas Belas;5;2604106;Caruaru;2B
26006092610905;2600609;Alagoinha;5;2610905;Pesqueira;4A
26006092611606;2600609;Alagoinha;5;2611606;Recife;1C
26006092601201;2600609;Alagoinha;5;2601201;Arcoverde;3A
26006092604106;2600609;Alagoinha;5;2604106;Caruaru;2B
26006092616001;2600609;Alagoinha;5;2616001;Venturosa;5
26006092601706;2600609;Alagoinha;5;2601706;Belo Jardim;3B
26006092612505;2600609;Alagoinha;5;2612505;Santa Cruz do Capibaribe;3B
26006092602803;2600609;Alagoinha;5;2602803;Buíque;5
26007082611606;2600708;Aliança;5;2611606;Recife;1C
26007082615300;2600708;Aliança;5;2615300;Timbaúba;3B
26007082606200;2600708;Aliança;5;2606200;Goiana;3B
26007082604007;2600708;Aliança;5;2604007;Carpina;3B
26007082609501;2600708;Aliança;5;2609501;Nazaré da Mata;5
26007082615508;2600708;Aliança;5;2615508;Tracunhaém;5
26007082604106;2600708;Aliança;5;2604106;Caruaru;2B
26007082614501;2600708;Aliança;5;2614501;Surubim;3B
26007082607653;2600708;Aliança;5;2607653;Itambé;5
26007082608909;2600708;Aliança;5;2608909;Limoeiro;3B
26008072604106;2600807;Altinho;5;2604106;Caruaru;2B
26008072611606;2600807;Altinho;5;2611606;Recife;1C
26008072600302;2600807;Altinho;5;2600302;Agrestina;5
26008072606002;2600807;Altinho;5;2606002;Garanhuns;2C
26008072606705;2600807;Altinho;5;2606705;Ibirajuba;5
26008072605004;2600807;Altinho;5;2605004;Cupira;5
26009062611606;2600906;Amaraji;5;2611606;Recife;1C
26009062605202;2600906;Amaraji;5;2605202;Escada;3B
26009062616407;2600906;Amaraji;5;2616407;Vitória de Santo Antão;3B
26009062606408;2600906;Amaraji;5;2606408;Gravatá;4A
26009062604106;2600906;Amaraji;5;2604106;Caruaru;2B
26009062611408;2600906;Amaraji;5;2611408;Primavera;5
26009062602902;2600906;Amaraji;5;2602902;Cabo de Santo Agostinho;1C
26009062610004;2600906;Amaraji;5;2610004;Palmares;3B
26009062604502;2600906;Amaraji;5;2604502;Chã Grande;5
26009062609402;2600906;Amaraji;5;2609402;Moreno;1C
26009062604007;2600906;Amaraji;5;2604007;Carpina;3B
26009062611804;2600906;Amaraji;5;2611804;Ribeirão;5
26010032606002;2601003;Angelim;5;2606002;Garanhuns;2C
26010032611606;2601003;Angelim;5;2611606;Recife;1C
26010032603702;2601003;Angelim;5;2603702;Canhotinho;5
26010032604106;2601003;Angelim;5;2604106;Caruaru;2B
26010032613206;2601003;Angelim;5;2613206;São João;5
26010032610103;2601003;Angelim;5;2610103;Palmeirina;5
26010032611507;2601003;Angelim;5;2611507;Quipapá;5
26010032612455;2601003;Angelim;5;2612455;Santa Cruz;5
26010522611606;2601052;Araçoiaba;1C;2611606;Recife;1C
26010522604007;2601052;Araçoiaba;1C;2604007;Carpina;3B
26010522606804;2601052;Araçoiaba;1C;2606804;Igarassu;1C
26010522610707;2601052;Araçoiaba;1C;2610707;Paulista;1C
26010522600054;2601052;Araçoiaba;1C;2600054;Abreu e Lima;1C
26010522609600;2601052;Araçoiaba;1C;2609600;Olinda;1C
26010522613701;2601052;Araçoiaba;1C;2613701;São Lourenço da Mata;1C
26010522607752;2601052;Araçoiaba;1C;2607752;Itapissuma;1C
26010522610608;2601052;Araçoiaba;1C;2610608;Paudalho;1C
26010522608909;2601052;Araçoiaba;1C;2608909;Limoeiro;3B
26010522609501;2601052;Araçoiaba;1C;2609501;Nazaré da Mata;5
26010522615508;2601052;Araçoiaba;1C;2615508;Tracunhaém;5
26010522603454;2601052;Araçoiaba;1C;2603454;Camaragibe;1C
26011022611606;2601102;Araripina;3B;2611606;Recife;1C
26011022611101;2601102;Araripina;3B;2611101;Petrolina;2C
26011022609907;2601102;Araripina;3B;2609907;Ouricuri;3A
26011022615607;2601102;Araripina;3B;2615607;Trindade;5
26011022612455;2601102;Araripina;3B;2612455;Santa Cruz;5
26011022604106;2601102;Araripina;3B;2604106;Caruaru;2B
26012012611606;2601201;Arcoverde;3A;2611606;Recife;1C
26012012604106;2601201;Arcoverde;3A;2604106;Caruaru;2B
26012012606002;2601201;Arcoverde;3A;2606002;Garanhuns;2C
26012012613909;2601201;Arcoverde;3A;2613909;Serra Talhada;3A
26012012610905;2601201;Arcoverde;3A;2610905;Pesqueira;4A
26012012610806;2601201;Arcoverde;3A;2610806;Pedra;5
