ID;UF_ORIGEM;MUN_ORIGEM;MUN_OR;NOME_ORIGEM;POP2018_O;COD_ARR_O;NOME_ARR_O;HIERAR_MUN_O;HIERAR_CID;NOME_HIERAR_CID;UF_DESTINO;MUN_DESTINO;MUN_DEST;NOME_DESTINO;POP2018_D;COD_ARR_D;NOME_ARR_D;HIERAR_MUN_D;HIERAR_CID_D;NOME_HIERAR_CID_D;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;IA_Q1;IA_Q2;IA_Q3;IA_Q4;IA_Q5;IA_Q6;IA_Q7;IA_Q8;IA_Q9;IA_Q10;PERC_LIG;IA;X_ORIGEM;Y_ORIGEM;X_DESTINO;Y_DESTINO
26001042601201;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2601201;2601201;Arcoverde;73844;;;Centro Subregional A (3A);3A;Centro Subregional A;3.3333333333;0;10;11.6666666667;1.6666666667;5;11.6666666667;0;0;0;1237.0333333333;0;3711.1;4329.6166666667;618.5166666667;1855.55;4329.6166666667;0;0;0;0.0433333333;1608.1433333333;-37.6384;-7.7502;-37.0535;-8.4193
26001042613602;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2613602;2613602;São José do Egito;33789;;;Centro de Zona B (4B);4B;Centro de Zona B;0;0;0;0;0;26.6666666667;0;0;0;14.0784982935;0;0;0;0;0;9896.2666666667;0;0;0;5224.6715017065;0.040745165;1512.0938168373;-37.6384;-7.7502;-37.2743;-7.4801
26001042603900;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2603900;2603900;Carnaíba;19491;;;Centro Local (5);5;Centro Local;0;0;0;0;0;6.6666666667;0;0;0;22.3549488055;0;0;0;0;0;2474.0666666667;0;0;0;8296.1450511946;0.0290216155;1077.0211717861;-37.6384;-7.7502;-37.7924;-7.8041
26001042612505;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2612505;2612505;Santa Cruz do Capibaribe;105936;;;Centro Subregional B (3B);3B;Centro Subregional B;16.6666666667;0;0;0;0;0;0;0;0;0;6185.1666666667;0;0;0;0;0;0;0;0;0;0.0166666667;618.5166666667;-37.6384;-7.7502;-36.1995;-7959
26001042606903;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2606903;2606903;Iguaracy;12209;;;Centro Local (5);5;Centro Local;0;0;0;0;0;0;0;0;0;13.4812286689;0;0;0;0;0;0;0;0;0;5003.0187713311;0.0134812287;500.3018771331;-37.6384;-7.7502;-37.5149;-7.8352
26001042605608;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2605608;2605608;Flores;22631;;;Centro Local (5);5;Centro Local;0;0;0;0;0;0;0;0;0;12.457337884;0;0;0;0;0;0;0;0;0;4623.042662116;0.0124573379;462.3042662116;-37.6384;-7.7502;-37974;-7.8671
26001042615706;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2615706;2615706;Triunfo;15265;;;Centro Local (5);5;Centro Local;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;3711.1;0;0;0;0;0.01;371.11;-37.6384;-7.7502;-38.1025;-7.8387
26001042615409;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2615409;2615409;Toritama;44254;;;Centro Local (5);5;Centro Local;6.6666666667;0;0;0;0;0;0;0;0;0;2474.0666666667;0;0;0;0;0;0;0;0;0;0.0066666667;247.4066666667;-37.6384;-7.7502;-36057;-8.0091
26001042606002;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2606002;2606002;Garanhuns;138983;;;Capital Regional C (2C);2C;Capital Regional C;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1855.55;0;0;0;5;185555;-37.6384;-7.7502;-36.4962;-8.8911
26001042612208;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2612208;2612208;Salgueiro;60604;;;Centro Subregional B (3B);3B;Centro Subregional B;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1855.55;0;0;0;5;185555;-37.6384;-7.7502;-39.1195;-8.0743
26001042611101;PE;2600104;2600104;Afogados da Ingazeira;37111;;;Centro Subregional B (3B);3B;Centro Subregional B;PE;2611101;2611101;Petrolina;343865;2611101;Arranjo Populacional de Petrolina/PE - Juazeiro/BA;Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA - Capital Regional C (2C);2C;Capital Regional C;0;0;0;0;0;0;3.3333333333;0;0;0;0;0;0;0;0;0;1237.0333333333;0;0;0;0.0033333333;123.7033333333;-37.6384;-7.7502;-40.5011;-9.4017
26002032611101;PE;2600203;2600203;Afrânio;19456;;;Centro Local (5);5;Centro Local;PE;2611101;2611101;Petrolina;343865;2611101;Arranjo Populacional de Petrolina/PE - Juazeiro/BA;Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA - Capital Regional C (2C);2C;Capital Regional C;76.6666666667;80;80;61.6666666667;73.3333333333;60;83.3333333333;100;0;34.8242811502;14916.2666666667;15564.8;15564.8;11997.8666666667;14267.7333333333;11673.6;16213.3333333333;19456;0;6775.4121405751;0.6498242812;12642.9812140575;-41.0031;-8.5168;-40.5011;-9.4017
26002032611606;PE;2600203;2600203;Afrânio;19456;;;Centro Local (5);5;Centro Local;PE;2611606;2611606;Recife;1637834;2611606;Arranjo Populacional do Recife/PE;Município integrante do Arranjo Populacional do Recife/PE - Metrópole (1C);1C;Metrópole;0;0;0;33.3333333333;0;0;6.6666666667;0;66.6666666667;0;0;0;0;6485.3333333333;0;0;1297.0666666667;0;12970.6666666667;0;0.1066666667;2075.3066666667;-41.0031;-8.5168;-34.8889;-8.0628
26002032605152;PE;2600203;2600203;Afrânio;19456;;;Centro Local (5);5;Centro Local;PE;2605152;2605152;Dormentes;18734;;;Centro Local (5);5;Centro Local;10;6.6666666667;6.6666666667;0;0;16.6666666667;1.6666666667;0;0;0;1945.6;1297.0666666667;1297.0666666667;0;0;3242.6666666667;324.2666666667;0;0;0;0.0416666667;810.6666666667;-41.0031;-8.5168;-40.7663;-8.4486
26003022604106;PE;2600302;2600302;Agrestina;24702;;;Centro Local (5);5;Centro Local;PE;2604106;2604106;Caruaru;356872;;;Capital Regional B (2B);2B;Capital Regional B;100;100;83;53.3333333333;93.3333333333;61.6666666667;63.3333333333;0;0;64.7840531561;24702;24702;20502.66;13174.4;23055.2;15232.9;15644.6;0;0;16002.9568106312;0.6194507198;15301.6716810631;-35.9484;-8.4565;-35.9696;-8.2864
