CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,xCentroide,yCentroide
"2600054",Abreu e Lima,PE,126.384,-35.019,-7.880
"2600104",Afogados da Ingazeira,PE,377.696,-37.620,-7.737
"2600203",Afrânio,PE,1490.594,-41.005,-8.619
"2600302",Agrestina,PE,200.369,-35.945,-8.457
"2600401",Água Preta,PE,533.332,-35.482,-8.729
"2600500",Águas Belas,PE,885.988,-37.039,-9.087
"2600609",Alagoinha,PE,216.452,-36.755,-8.494
"2600708",Aliança,PE,272.773,-35.193,-7.603
"2600807",Altinho,PE,450.178,-36.099,-8.491
"2600906",Amaraji,PE,234.956,-35.466,-8.365
"2601003",Angelim,PE,118.037,-36.277,-8.892
"2601052",Araçoiaba,PE,96.360,-35.076,-7.793
"2601102",Araripina,PE,2037.394,-40.485,-7.608
"2601201",Arcoverde,PE,323.370,-37.010,-8.385
"2601300",Barra de Guabiraba,PE,120.583,-35.632,-8.416
"2601409",Barreiros,PE,233.433,-35.259,-8.820
"2601508",Belém de Maria,PE,75.142,-35.815,-8.605
"2601607",Belém do São Francisco,PE,1830.797,-38.982,-8.584
"2601706",Belo Jardim,PE,647.696,-36.405,-8.259
"2601805",Betânia,PE,1244.074,-37.988,-8.265
"2601904",Bezerros,PE,492.632,-35.782,-8.218
"2602001",Bodocó,PE,1621.786,-39.965,-7.656
"2602100",Bom Conselho,PE,792.185,-36.684,-9.203
"2602209",Bom Jardim,PE,224.120,-35.589,-7.787
"2602308",Bonito,PE,390.107,-35.708,-8.495
"2602407",Brejão,PE,159.786,-36.530,-9.027
"2602506",Brejinho,PE,106.275,-37.321,-7.337
"2602605",Brejo da Madre de Deus,PE,762.346,-36.281,-8.076
"2602704",Buenos Aires,PE,93.187,-35.347,-7.738
"2602803",Buíque,PE,1320.870,-37.121,-8.649
"2602902",Cabo de Santo Agostinho,PE,445.343,-35.086,-8.269
"2603009",Cabrobó,PE,1658.616,-39.329,-8.386
"2603108",Cachoeirinha,PE,179.262,-36.291,-8.485
"2603207",Caetés,PE,294.946,-36.659,-8.804
"2603306",Calçado,PE,121.945,-36.322,-8.751
"2603405",Calumbi,PE,179.314,-38.079,-8.004
"2603454",Camaragibe,PE,51.321,-34.996,-7.987
"2603504",Camocim de São Félix,PE,71.985,-35.772,-8.350
